period,buyer,price,log_price
Average Price Paid,Average Buyer,79957,11
Basketball,LaMelo Ball,4156,8
Basketball,LaMelo Ball,10827,9
Football,Tom Brady,458977,13
Basketball,Stephen Curry,178569,12
Soccer,Memphis Depay,249463,12
Soccer,Neymar,612300,13
Soccer,Neymar,516455,13
Football,Ben Simmons,254503,12
Tennis,Serena Williams,445813,13
Music,Justin Bieber,1312981,14
Music,The Chainsmokers,206014,12
Music,Diplo,255028,12
Music,Eminem,461208,13
Music,Future,19529,9
Music,Gunna,316943,12
Comedy,Jimmy Fallon,437847,12
Comedy,Kevin Hart,247127,12
Youtube,KSI,29326,10
Youtube,KSI,534931,13
Youtube,Logan Paul,111370,11
