Asset,Date,Value
Bored Ape Average Sale Price,2021-05,1990
Bored Ape Average Sale Price,2021-06,7204
Bored Ape Average Sale Price,2021-07,13164
Bored Ape Average Sale Price,2021-08,86254
Bored Ape Average Sale Price,2021-09,165611
Bored Ape Average Sale Price,2021-10,168718
Bored Ape Average Sale Price,2021-11,218451
Bored Ape Average Sale Price,2021-12,258224
Bored Ape Average Sale Price,2022-01,285559
Bored Ape Average Sale Price,2022-02,310458
Bored Ape Average Sale Price,2022-03,294892
Bored Ape Average Sale Price,2022-04,412010
Bored Ape Average Sale Price,2022-05,283708
Bored Ape Average Sale Price,2022-06,130506
Bored Ape Average Sale Price,2022-07,133419
Bored Ape Average Sale Price,2022-08,150088
Bored Ape Average Sale Price,2022-09,120373
Bored Ape Average Sale Price,2022-10,112625
Bitcoin Price,2021-05,57828.05
Bitcoin Price,2021-06,36684.93
Bitcoin Price,2021-07,33572.12
Bitcoin Price,2021-08,39974.89
Bitcoin Price,2021-09,48847.03
Bitcoin Price,2021-10,48116.94
Bitcoin Price,2021-11,61004.41
Bitcoin Price,2021-12,57229.83
Bitcoin Price,2022-01,47686.81
Bitcoin Price,2022-02,38743.27
Bitcoin Price,2022-03,44354.64
Bitcoin Price,2022-04,46281.64
Bitcoin Price,2022-05,38469.09
Bitcoin Price,2022-06,29799.08
Bitcoin Price,2022-07,19269.37
Bitcoin Price,2022-08,23314.20
Bitcoin Price,2022-09,20127.14
Bitcoin Price,2022-10,19312.10
Ethereum price,2021-05,2772.84
Ethereum price,2021-06,2707.56
Ethereum price,2021-07,2274.40
Ethereum price,2021-08,2530.46
Ethereum price,2021-09,3430.76
Ethereum price,2021-10,3001.13
Ethereum price,2021-11,4288.22
Ethereum price,2021-12,4623.68
Ethereum price,2022-01,3683.05
Ethereum price,2022-02,2687.90
Ethereum price,2022-03,2919.78
Ethereum price,2022-04,3282.58
Ethereum price,2022-05,2729.99
Ethereum price,2022-06,1942.05
Ethereum price,2022-07,1068.32
Ethereum price,2022-08,1681.45
Ethereum price,2022-09,1553.76
Ethereum price,2022-10,1328.19
