age,num
6.0,1
15.0,4
16.0,4
17.0,17
18.0,29
19.0,20
20.0,32
21.0,32
22.0,33
23.0,46
24.0,55
25.0,50
26.0,47
27.0,51
28.0,55
29.0,54
30.0,50
31.0,60
32.0,38
33.0,39
34.0,48
35.0,52
36.0,54
37.0,34
38.0,23
39.0,36
40.0,41
41.0,27
42.0,28
43.0,19
44.0,19
45.0,47
46.0,32
47.0,37
48.0,15
49.0,24
50.0,24
51.0,27
52.0,17
53.0,24
54.0,19
55.0,14
56.0,17
57.0,19
58.0,13
59.0,18
60.0,9
61.0,11
62.0,10
63.0,10
64.0,6
65.0,3
66.0,6
67.0,3
68.0,5
69.0,2
71.0,3
72.0,2
74.0,2
75.0,1
76.0,5
77.0,2
83.0,1
86.0,2
